PCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  0, inertia 397.708
Iteration  1, inertia 293.591
Iteration  2, inertia 279.938
Iteration  3, inertia 273.793
Iteration  4, inertia 272.200
Iteration  5, inertia 271.221
Iteration  6, inertia 269.941
Iteration  7, inertia 268.419
Iteration  8, inertia 267.204
Iteration  9, inertia 266.831
Iteration 10, inertia 266.570
Iteration 11, inertia 266.472
Iteration 12, inertia 266.440
Iteration 13, inertia 266.422
Iteration 14, inertia 266.403
Iteration 15, inertia 266.397
Iteration 16, inertia 266.395
Converged at iteration 16
Initialization complete
Iteration  0, inertia 405.283
Iteration  1, inertia 310.783
Iteration  2, inertia 299.327
Iteration  3, inertia 290.558
Iteration  4, inertia 278.740
Iteration  5, inertia 272.287
Iteration  6, inertia 270.252
Iteration  7, inertia 269.357
Iteration  8, inertia 268.534
Iteration  9, inertia 267.910
Iteration 10, inertia 267.478
Iteration 11, inertia 267.244
Iteration 12, inertia 267.095
Iteration 13, inertia 267.043
Iteration 14, inertia 266.990
Iteration 15, inertia 266.973
Iteration 16, inertia 266.969
Iteration 17, inertia 266.964
Iteration 18, inertia 266.956
Iteration 19, inertia 266.947
Converged at iteration 19
Initialization complete
Iteration  0, inertia 417.044
Iteration  1, inertia 302.239
Iteration  2, inertia 294.337
Iteration  3, inertia 289.738
Iteration  4, inertia 282.749
Iteration  5, inertia 277.026
Iteration  6, inertia 275.227
Iteration  7, inertia 274.505
Iteration  8, inertia 273.395
Iteration  9, inertia 272.458
Iteration 10, inertia 271.444
Iteration 11, inertia 270.150
Iteration 12, inertia 269.065
Iteration 13, inertia 268.569
Iteration 14, inertia 268.163
Iteration 15, inertia 267.686
Iteration 16, inertia 267.259
Iteration 17, inertia 267.074
Iteration 18, inertia 266.854
Iteration 19, inertia 266.635
Iteration 20, inertia 266.528
Iteration 21, inertia 266.467
Iteration 22, inertia 266.445
Iteration 23, inertia 266.437
Iteration 24, inertia 266.426
Iteration 25, inertia 266.407
Iteration 26, inertia 266.385
Iteration 27, inertia 266.373
Iteration 28, inertia 266.370
Converged at iteration 28
Initialization complete
Iteration  0, inertia 415.084
Iteration  1, inertia 288.032
Iteration  2, inertia 277.754
Iteration  3, inertia 275.835
Iteration  4, inertia 275.378
Iteration  5, inertia 275.200
Iteration  6, inertia 275.146
Iteration  7, inertia 275.125
Iteration  8, inertia 275.118
Iteration  9, inertia 275.115
Iteration 10, inertia 275.113
Iteration 11, inertia 275.106
Iteration 12, inertia 275.101
Converged at iteration 12
Initialization complete
Iteration  0, inertia 422.245
Iteration  1, inertia 303.146
Iteration  2, inertia 283.066
Iteration  3, inertia 275.067
Iteration  4, inertia 272.995
Iteration  5, inertia 272.525
Iteration  6, inertia 272.254
Iteration  7, inertia 271.944
Iteration  8, inertia 271.489
Iteration  9, inertia 270.510
Iteration 10, inertia 268.650
Iteration 11, inertia 267.445
Iteration 12, inertia 266.828
Iteration 13, inertia 266.611
Iteration 14, inertia 266.533
Iteration 15, inertia 266.501
Iteration 16, inertia 266.477
Iteration 17, inertia 266.455
Iteration 18, inertia 266.431
Iteration 19, inertia 266.407
Iteration 20, inertia 266.394
Iteration 21, inertia 266.383
Iteration 22, inertia 266.376
Iteration 23, inertia 266.374
Converged at iteration 23
Post-Reduction   0.57s    266   0.733   0.739   0.736   0.659   0.730    0.254
