ICAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 13, inertia 339.391
Iteration 14, inertia 339.368
Iteration 15, inertia 339.342
Iteration 16, inertia 339.319
Iteration 17, inertia 339.304
Converged at iteration 17
Initialization complete
Iteration  0, inertia 510.803
Iteration  1, inertia 365.396
Iteration  2, inertia 353.083
Iteration  3, inertia 346.690
Iteration  4, inertia 344.166
Iteration  5, inertia 343.490
Iteration  6, inertia 343.174
Iteration  7, inertia 342.904
Iteration  8, inertia 342.825
Iteration  9, inertia 342.805
Iteration 10, inertia 342.784
Iteration 11, inertia 342.751
Iteration 12, inertia 342.728
Iteration 13, inertia 342.714
Converged at iteration 13
Initialization complete
Iteration  0, inertia 530.594
Iteration  1, inertia 371.025
Iteration  2, inertia 353.279
Iteration  3, inertia 347.543
Iteration  4, inertia 345.788
Iteration  5, inertia 345.013
Iteration  6, inertia 344.802
Iteration  7, inertia 344.565
Iteration  8, inertia 344.429
Iteration  9, inertia 344.369
Iteration 10, inertia 344.346
Iteration 11, inertia 344.339
Iteration 12, inertia 344.336
Converged at iteration 12
Initialization complete
Iteration  0, inertia 532.244
Iteration  1, inertia 406.402
Iteration  2, inertia 383.446
Iteration  3, inertia 370.249
Iteration  4, inertia 361.657
Iteration  5, inertia 355.412
Iteration  6, inertia 351.788
Iteration  7, inertia 349.040
Iteration  8, inertia 346.526
Iteration  9, inertia 344.320
Iteration 10, inertia 342.208
Iteration 11, inertia 341.047
Iteration 12, inertia 340.615
Iteration 13, inertia 340.499
Iteration 14, inertia 340.322
Iteration 15, inertia 340.232
Iteration 16, inertia 340.197
Iteration 17, inertia 340.192
Iteration 18, inertia 340.190
Converged at iteration 18
Initialization complete
Iteration  0, inertia 528.883
Iteration  1, inertia 381.427
Iteration  2, inertia 360.624
Iteration  3, inertia 347.811
Iteration  4, inertia 343.377
Iteration  5, inertia 341.253
Iteration  6, inertia 340.441
Iteration  7, inertia 340.047
Iteration  8, inertia 339.780
Iteration  9, inertia 339.509
Iteration 10, inertia 339.430
Iteration 11, inertia 339.373
Iteration 12, inertia 339.312
Iteration 13, inertia 339.283
Iteration 14, inertia 339.267
Converged at iteration 14
Initialization complete
Iteration  0, inertia 553.738
Iteration  1, inertia 396.245
Iteration  2, inertia 366.953
Iteration  3, inertia 350.584
Iteration  4, inertia 344.168
Iteration  5, inertia 342.812
Iteration  6, inertia 342.569
Iteration  7, inertia 342.486
Iteration  8, inertia 342.460
Iteration  9, inertia 342.457
Iteration 10, inertia 342.453
Iteration 11, inertia 342.448
Iteration 12, inertia 342.444
Iteration 13, inertia 342.440
Iteration 14, inertia 342.434
Iteration 15, inertia 342.424
Converged at iteration 15
Initialization complete
Iteration  0, inertia 483.035
Iteration  1, inertia 355.393
Iteration  2, inertia 345.078
Iteration  3, inertia 343.581
Iteration  4, inertia 342.958
Iteration  5, inertia 342.647
Iteration  6, inertia 342.519
Iteration  7, inertia 342.456
Iteration  8, inertia 342.438
Iteration  9, inertia 342.425
Converged at iteration 9
Initialization complete
Iteration  0, inertia 516.289
Iteration  1, inertia 385.453
Iteration  2, inertia 370.647
Iteration  3, inertia 361.143
Iteration  4, inertia 356.273
Iteration  5, inertia 352.624
Iteration  6, inertia 348.492
Iteration  7, inertia 343.756
Iteration  8, inertia 341.400
Iteration  9, inertia 340.601
Iteration 10, inertia 340.271
Iteration 11, inertia 340.037
